Code	Subcategory
0	Uncategorized
420	Flour
490	Rice
520	Glutinous rice
530	Glutinous rice flour
540	Tapioca or cassava
550	Tapioca flour or tapioca starch
610	Wheat germ meal or wheat germ
620	Oatmeal
630	Pasta
631	Instant noodle
632	Bihun
640	Prepared cereal food
650	Bread
780	Malt extract
790	Cream or tartar
810	Baking powder
820	Milk
900	Milk Powder
911	Malted milk powder
912	Children milk powder
940	Evaporated milk
950	Condensed milk
960	Lactose hydrolysed milk
1000	Cream
1030	Butter
1050	Ghee
1060	Fresh Cheese
1070	Cottage cheese
1080	Cream cheese
1090	Processed cheese
1120	Dried cheese or powdered cheese
1160	Ice cream
1170	Other Milk Product
1180	Sugar
1300	Honey
1310	Icing sugar
1320	Molasses
1321	Artificial sweetening substance
1342	Sweetened creamer
1343	Non dairy creamer
1350	Flour confection
1360	Sugar confection
1370	Frozen confection
1380	Ice confection
1391	Jelly confection
1410	Meat or fresh meat
1420	Chilled meat
1430	Frozen meat
1440	Minced meat or ground meat
1460	Meat paste
1470	Manufactured meat
1480	Smoked meat
1490	Canned meat
1520	Meat extract or meat essence
1530	Edible gelatin
1560	Fish
1580	Cured, pickled or salted fish
1590	Smoked fish
1600	Prepared fish
1610	Canned fish
1620	Fish paste
1630	Belacan
1640	Fish sauce
1660	Cincalok
1661	Oyster sauce
1670	Fish ball or fish cake
1680	Fish keropok
1690	Otak udang, petis or heko
1700	Pekasam
1710	Egg
1750	Dried egg, dried egg yolk and dried egg white
1770	Preserved egg
1781	Birds nest
1850	Margarine
1860	Fat spread
1870	Vanaspati
1890	Cooking oil
2100	Fresh vegetable
2110	Dried vegetable
2120	Frozen vegetable
2140	Salted vegetable
2180	Tomato puree
2200	Canned vegetable
2210	Fermented soya bean product
2230	Soup
2240	Soup stock
2250	Fresh fruit
2260	Dried fruit
2290	Candied fruit
2300	Salted fruit
2320	Candied peel
2330	Canned fruit
2350	Fruit juice
2460	Jam
2470	Fruit jelly
2480	Marmalade
2490	Seri kaya
2520	Nut
2530	Coconut milk
2540	Coconut cream
2550	Coconut cream powder
2580	Coconut paste
2590	Peanut butter
2600	Tea
2660	Coffee
2780	Cocoa Powder
2790	Chocolate
2830	Salt
2860	Spice
3340	Vinegar
3390	Sauce
3400	Soya sauce
3420	Chilli sauce
3430	Tomato sauce
3440	Salad dressing
3450	Mayonnaise
3460	Chutney
3470	Pickle
3490	Syrup
3530	Fruit drink
3540	Flavoured drink
3550	Soft drink
3560	Botanical beverage mix
3580	Soya bean drink
3601	Mineral water
3604	Isotonic electrolyte drink
3610	Alcoholic beverage
3890	Infant formula